ID,dune_site,mean,sorting,skewness,kurtosis
CB-1  F1.23,CB,1.688,0.505,0.044,0.99
CB-2  B.26,CB,2.255,0.332,0.142,1.012
CB-3  F1.29,CB,2.489,0.315,0.112,0.986
CB-4  B.32,CB,1.831,0.404,0.053,0.98
CB-5  F1.122,CB,1.455,0.53,0.19,0.972
CB-6  F1.124,CB,1.287,0.507,0.168,0.948
CB-1  C.22,CB,1.544,0.638,0.063,0.89
CB-2  C.25,CB,2.259,0.356,0.172,1.063
CB-3  C.28,CB,2.206,0.349,0.167,1.038
CB-4  C.31,CB,2.097,0.271,0.083,0.917
CB-1  F2.24,CB,2.477,0.411,0.157,1.016
CB-2  S.27,CB,2.24,0.347,0.157,1.039
CB-3  S.30,CB,2.341,0.338,0.132,1.002
CB-4  S.33,CB,1.927,0.404,0.053,0.971
CB-5  F2.123,CB,1.632,0.564,0.094,0.956
CB-6  F2.125,CB,1.468,0.559,0.224,0.981
CH-1  B.49,CH,1.514,0.609,0.227,0.918
CH-2  B.51,CH,1.548,0.461,0.044,0.96
CH-3  B.54,CH,1.967,0.387,0.221,1.166
CH-4  B.57,CH,2.21,0.542,0.321,0.966
CH-5  B.60,CH,1.719,0.537,0.092,0.994
CH-6  B.63,CH,1.724,0.531,0.102,1.021
CH-7  B.66,CH,1.45,0.559,0.234,0.957
CH-8  B.69,CH,1.771,0.606,0.086,0.972
CH-9  B.72,CH,1.845,0.58,0.08,0.979
CH-10  B.75,CH,1.733,0.625,0.082,0.923
CH-11  B.78,CH,2.069,0.405,0.213,1.079
CH-12  B.81,CH,1.577,0.586,0.122,0.891
CH-1  C.50,CH,1.609,0.565,0.1,0.961
CH-2  C.52,CH,2.086,0.55,0.363,1.004
CH-3  C.55,CH,2.186,0.387,0.257,1.164
CH-4  C.58,CH,0.676,0.645,0.338,1.025
CH-5  C.61,CH,1.115,0.525,0.124,1.117
CH-6  C.64,CH,1.448,0.595,0.233,1.036
CH-7  C.67,CH,1.75,0.636,0.079,0.922
CH-8  C.70,CH,0.159,0.518,0.366,1.298
CH-9  C.73,CH,0.537,0.454,0.157,0.962
CH-10  C.76,CH,0.741,0.54,0.16,1.092
CH-11  C.79,CH,1.4,0.497,0.127,1.014
CH-12  C.82,CH,0.506,0.71,0.402,1.2
CH-2  S.53,CH,2.27,0.472,0.312,1.047
CH-3  S.56,CH,1.794,0.506,0.036,0.986
CH-4  S.59,CH,2.089,0.476,0.292,1.121
CH-5  S.62,CH,2.068,0.422,0.248,1.122
CH-6  S.65,CH,1.662,0.469,0.062,0.994
CH-7  S.68,CH,1.934,0.959,-0.279,2.179
CH-8  S.71,CH,1.784,0.616,0.109,0.981
CH-9  S.74,CH,1.437,0.494,0.149,0.939
CH-10  S.77,CH,1.778,0.61,0.049,0.939
PA-2  F.95,PA,2.19,0.347,0.183,1.074
PA-3  F.96,PA,2.226,0.387,0.203,1.066
PA-4  B.97,PA,1.563,0.537,0.014,0.962
PA-5  B.100,PA,1.527,0.524,0.059,0.909
PA-6  B103,PA,1.48,0.554,0.208,0.941
PA-7  B.106,PA,1.476,0.54,0.178,0.944
PA-8  F1.110,PA,1.638,0.459,0.063,1.011
PA-9  F1.113,PA,1.252,0.535,0.03,1.051
PA-10  F1.116,PA,1.654,0.439,0.073,1.009
PA-11  F1.119,PA,2.128,0.361,0.172,1.072
PAIC,PA,2.318,0.441,0.302,1.227
PA-4  C.98,PA,1.526,0.547,0.162,0.988
PA-5  C.101,PA,1.447,0.531,0.167,0.931
PA-6  C.104,PA,-0.125,0.452,0.112,0.903
PA-7  C.107,PA,1.343,0.542,0.328,1.024
PA-8  C.109,PA,1.325,0.51,0.166,0.99
PA-9  C.112,PA,0.903,0.58,0.099,1.008
PA-10  C.115,PA,1.414,0.465,0.141,0.977
PA-11  C.118,PA,2.209,0.364,0.202,1.11
PA-4  S.99,PA,1.983,0.41,0.241,1.153
PA-5  S.102,PA,2.204,0.378,0.225,1.109
PA-6  S.105,PA,1.827,0.563,0.084,0.996
PA-7  S.108,PA,1.607,0.565,0.169,0.994
PA-8  F2.111,PA,1.39,0.478,0.169,0.955
PA-9  F2.114,PA,1.492,0.424,0.05,0.986
PA-10  F2.117,PA,1.837,0.471,0.059,0.998
PA-11  F2.120,PA,2.277,0.351,0.162,1.047
